,molecule_chembl_id,units,IC50,smiles,pIC50
22,CHEMBL54400,nM,0.13,CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,9.886056647693163
23,CHEMBL3892310,nM,0.13,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCC1C2COCC21,9.886056647693163
24,CHEMBL3357641,nM,0.16,CN(C)C/C=C(\F)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,9.795880017344075
25,CHEMBL417478,nM,0.16,C=CC(=O)Nc1nc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1,9.795880017344075
26,CHEMBL93032,nM,0.17,Oc1cc2ncnc(Nc3cccc(Br)c3)c2cc1O,9.769551078621726
27,CHEMBL592617,nM,0.17,N#CCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.769551078621726
28,CHEMBL418967,nM,0.17,CCCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCC,9.769551078621726
29,CHEMBL166093,nM,0.18,OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.744727494896694
30,CHEMBL2031302,nM,0.18,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCC,9.744727494896694
31,CHEMBL3357637,nM,0.18,CCOc1cc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C(F)=C/CN(C)C,9.744727494896694
32,CHEMBL166154,nM,0.19,CNc1cc2c(Nc3cccc(Cl)c3)ncnc2cn1,9.721246399047171
33,CHEMBL165864,nM,0.19,OCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.721246399047171
34,CHEMBL3357634,nM,0.2,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C(F)=C/CN(C)C,9.698970004336019
35,CHEMBL437879,nM,0.208,COc1cc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2cc1OC,9.681936665037238
36,CHEMBL161956,nM,0.22,CN(CCO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.657577319177793
37,CHEMBL2031300,nM,0.23,CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CC1,9.638272163982407
38,CHEMBL127041,nM,0.24,OCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,9.619788758288394
39,CHEMBL316064,nM,0.24,COc1cc2ncnc(Nc3cccc(C(F)(F)F)c3)c2cc1OC,9.619788758288394
40,CHEMBL328955,nM,0.25,Nc1ccc2c(Nc3cccc(Cl)c3)ncnc2c1,9.602059991327963
41,CHEMBL52913,nM,0.25,C=CC(=O)Nc1ccc2c(Nc3cccc(Cl)c3)ncnc2c1,9.602059991327963
42,CHEMBL3357639,nM,0.26,O=C(Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1)/C(F)=C/CN1CCOCC1,9.585026652029182
43,CHEMBL3360608,nM,0.26,C#Cc1cccc(Nc2ncnc3cc(OCCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1,9.585026652029182
44,CHEMBL3357635,nM,0.27,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C(F)=C/CN1CCCCC1,9.568636235841012
45,CHEMBL2031298,nM,0.27,O=C(CCN1CCCCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.568636235841012
46,CHEMBL3929484,nM,0.27,O=C(CCCCCn1cc(-c2ccc3ncnc(Nc4cccc(Cl)c4F)c3c2)nn1)NO,9.568636235841012
47,CHEMBL2031303,nM,0.27,CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CCN(C)C,9.568636235841012
48,CHEMBL152905,nM,0.27,Nc1ccc2sc3c(Nc4cccc(Br)c4)ncnc3c2c1,9.568636235841012
49,CHEMBL355816,nM,0.28,O=C(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.55284196865778
50,CHEMBL128468,nM,0.28,O=C(O)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,9.55284196865778
51,CHEMBL2031297,nM,0.28,CN(C)CCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.55284196865778
52,CHEMBL2029438,nM,0.29,C=CC(=O)Nc1cccc(N2C(=O)N(Cc3ccccc3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,9.537602002101044
53,CHEMBL426580,nM,0.29,Cc1nc2cc3c(Nc4cccc(Br)c4)ncnc3cc2[nH]1,9.537602002101044
54,CHEMBL2031305,nM,0.29,CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CCN1CCOCC1,9.537602002101044
55,CHEMBL203644,nM,0.3,CC#CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,9.522878745280337
56,CHEMBL3357644,nM,0.3,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C(F)=C\CN1CCOCC1,9.522878745280337
57,CHEMBL4127317,nM,0.3,C=CC(=O)Nc1cccc(-n2c(=O)n(C(C)C)c(=O)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,9.522878745280337
58,CHEMBL2029436,nM,0.3,C=CC(=O)Nc1cccc(N2C(=O)N(c3ccccc3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,9.522878745280337
59,CHEMBL4290812,nM,0.3,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCN(C)CC1,9.522878745280337
60,CHEMBL4078431,nM,0.3,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCCOP(N)(=O)N(CCCl)CCCl,9.522878745280337
61,CHEMBL3623290,nM,0.3,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OC(=O)N1CCN(C)C[C@H]1C,9.522878745280337
62,CHEMBL3357642,nM,0.31,CN(C)C/C=C(/F)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,9.508638306165727
63,CHEMBL3360603,nM,0.31,COc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCCn1ccnc1[N+](=O)[O-],9.508638306165727
64,CHEMBL3355877,nM,0.32,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCCCCn1ccnc1[N+](=O)[O-],9.494850021680094
65,CHEMBL3360606,nM,0.32,COc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCOCCn1ccnc1[N+](=O)[O-],9.494850021680094
66,CHEMBL3360619,nM,0.33,COc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCCCn1ccnc1[N+](=O)[O-],9.481486060122112
67,CHEMBL366580,nM,0.34,Brc1cccc(Nc2ncnc3cc4c[nH]nc4cc23)c1,9.468521082957745
68,CHEMBL91980,nM,0.35,Nc1ccc2c(Nc3cccc(I)c3)ncnc2c1,9.455931955649724
69,CHEMBL163369,nM,0.35,OCCN(CCO)CCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.455931955649724
70,CHEMBL603266,nM,0.36,O=C(Cn1sccc1=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.443697499232712
71,CHEMBL39320,nM,0.37,Cn1ncc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,9.431798275933005
72,CHEMBL599863,nM,0.37,O=C(CNC(=O)Oc1ccccc1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.431798275933005
73,CHEMBL3360618,nM,0.37,COc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCCn1ccnc1[N+](=O)[O-],9.431798275933005
74,CHEMBL3895468,nM,0.37,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCC12COCC1C2,9.431798275933005
75,CHEMBL2447950,nM,0.38,CCOc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OCC.Cl,9.42021640338319
76,CHEMBL2029434,nM,0.38,C=CC(=O)Nc1cccc(N2C(=O)N(C(C)C)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,9.42021640338319
77,CHEMBL4282543,nM,0.4,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1OCCN1CCN(C)CC1,9.397940008672037
78,CHEMBL4112924,nM,0.4,CO[C@@H]1COC2C1OC[C@H]2Oc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,9.397940008672037
79,CHEMBL3759317,nM,0.4,COc1cc(C(=O)NCCN(C)C)cc(OC)c1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2s1,9.397940008672037
80,CHEMBL4129646,nM,0.4,C=CC(=O)Nc1cccc(-n2c(=O)n(CCC)c(=O)c3cnc(Nc4ccc(N5CCC(N(C)C)CC5)cc4OC)nc32)c1,9.397940008672037
81,CHEMBL51741,nM,0.4,C=CC(=O)Nc1ccc2ncnc(N3CCc4ccc(Br)cc43)c2c1,9.397940008672037
82,CHEMBL3901622,nM,0.4,C[C@@H](Nc1ncnc2oc(-c3ccc(NCCN(C)C)cc3)cc12)c1ccccc1,9.397940008672037
83,CHEMBL2029429,nM,0.41,C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCN(C)CC5)c(OC)c4)nc32)c1,9.387216143280265
84,CHEMBL1204199,nM,0.41,CCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCC.Cl,9.387216143280265
85,CHEMBL31815,nM,0.42,C=CC(=O)Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1,9.3767507096021
86,CHEMBL2029428,nM,0.43,C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nc32)c1,9.366531544420413
87,CHEMBL188762,nM,0.43,CCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.366531544420413
88,CHEMBL40734,nM,0.44,Brc1cccc(Nc2ncnc3cc4[nH]ccc4cc23)c1,9.356547323513812
89,CHEMBL351629,nM,0.44,CN(CC(=O)O)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.356547323513812
90,CHEMBL39337,nM,0.44,Brc1cccc(Nc2ncnc3cc4[nH]ncc4cc23)c1,9.356547323513812
91,CHEMBL304271,nM,0.45,CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,9.346787486224656
92,CHEMBL443523,nM,0.45,C=CC(=O)Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,9.346787486224656
93,CHEMBL162821,nM,0.45,CNc1cc2c(Nc3cccc(C)c3)ncnc2cn1,9.346787486224656
94,CHEMBL3818015,nM,0.47,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1NC(=O)[C@@H]1COC(=O)N1,9.327902142064282
95,CHEMBL3355875,nM,0.47,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCCn1ccnc1[N+](=O)[O-],9.327902142064282
96,CHEMBL539822,nM,0.47,Cl.Nc1ccc2c(c1)sc1c(Nc3cccc(Br)c3)ncnc12,9.327902142064282
97,CHEMBL3360609,nM,0.47,C#Cc1cccc(Nc2ncnc3cc(OCCCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1,9.327902142064282
98,CHEMBL54088,nM,0.48,C=CC(=O)Nc1cc2c(Nc3cccc(C)c3)ncnc2cn1,9.318758762624412
99,CHEMBL2021576,nM,0.49,O=C(O)[C@H]1O[C@@H]1C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.309803919971486
100,CHEMBL3360617,nM,0.49,COc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCn1ccnc1[N+](=O)[O-],9.309803919971486
101,CHEMBL3355881,nM,0.49,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCn4ccnc4[N+](=O)[O-])cc23)c1,9.309803919971486
102,CHEMBL4071474,nM,0.5,C=CC(=O)N1CC[C@H](N2C(=O)N(c3ccccc3Cl)Cc3cnc(Nc4ccc(N5CCN(C)CC5)c(C)c4)nc32)C1,9.301029995663981
103,CHEMBL2021575,nM,0.5,O=C(O)[C@@H]1O[C@H]1C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.301029995663981
104,CHEMBL3758582,nM,0.5,COc1ccc(C(=O)NCCN(C)C)cc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2s1,9.301029995663981
105,CHEMBL4080720,nM,0.5,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCOP(N)(=O)N(CCCl)CCCl,9.301029995663981
106,CHEMBL3355882,nM,0.5,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCn4ccnc4[N+](=O)[O-])cc23)c1,9.301029995663981
107,CHEMBL203599,nM,0.5,CN1CCN(CCC#CC(=O)Nc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3cn2)CC1,9.301029995663981
108,CHEMBL3758770,nM,0.5,COc1cc(C(=O)NCCN(C)C)ccc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2s1,9.301029995663981
109,CHEMBL2347958,nM,0.5,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@@H]1CCOC1,9.301029995663981
110,CHEMBL2031299,nM,0.51,O=C(CCN1CCOCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.292429823902063
111,CHEMBL3355876,nM,0.51,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCCCn1ccnc1[N+](=O)[O-],9.292429823902063
112,CHEMBL3901296,nM,0.51,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC[C@@]12COC[C@@H]1C2,9.292429823902063
113,CHEMBL126791,nM,0.51,Brc1cccc(Nc2ncnc3cc(NCCCn4ccnc4)ncc23)c1,9.292429823902063
114,CHEMBL2031304,nM,0.51,CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CCN1CCCCC1,9.292429823902063
115,CHEMBL3360604,nM,0.52,COc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCCCn1ccnc1[N+](=O)[O-],9.2839966563652
116,CHEMBL3357643,nM,0.53,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C(F)=C/CN1CCOCC1,9.275724130399212
117,CHEMBL3355889,nM,0.53,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCCn1c([N+](=O)[O-])cnc1C,9.275724130399212
118,CHEMBL49986,nM,0.54,C=CC(=O)Nc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,9.267606240177031
119,CHEMBL3360611,nM,0.54,C#Cc1cccc(Nc2ncnc3cc(OCCOCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1,9.267606240177031
120,CHEMBL4110258,nM,0.54,CN(C)CC/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC[C@]12COC[C@H]1C2,9.267606240177031
121,CHEMBL3355880,nM,0.56,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCn4ccnc4[N+](=O)[O-])cc23)c1,9.2518119729938
122,CHEMBL165547,nM,0.56,CN(CC(O)CO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.2518119729938
123,CHEMBL3360610,nM,0.57,C#Cc1cccc(Nc2ncnc3cc(OCCCCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1,9.244125144327509
124,CHEMBL1243254,nM,0.57,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)Cc1ccc(F)cc1,9.244125144327509
125,CHEMBL2029435,nM,0.58,C=CC(=O)Nc1cccc(N2C(=O)N(C3CC3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,9.236572006437063
126,CHEMBL4105621,nM,0.6,C=CC(=O)Nc1cc(Cl)cc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,9.221848749616356
127,CHEMBL378144,nM,0.6,C#CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.221848749616356
128,CHEMBL3891846,nM,0.6,C[C@@H](Nc1ncnc2oc(-c3ccc(NCCN4CCCCC4)cc3)cc12)c1ccccc1,9.221848749616356
129,CHEMBL4282954,nM,0.6,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCOCC1,9.221848749616356
130,CHEMBL127086,nM,0.61,O=C(O)CCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,9.214670164989233
131,CHEMBL1204262,nM,0.64,CCOc1cc2ncnc(Nc3cccc(I)c3)c2cc1OCC.Cl,9.193820026016112
132,CHEMBL162622,nM,0.65,Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1,9.187086643357144
133,CHEMBL3360607,nM,0.65,C#Cc1cccc(Nc2ncnc3cc(OCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1,9.187086643357144
134,CHEMBL3920583,nM,0.65,O=C(CCCCCn1cc(-c2ccc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2)nn1)NO,9.187086643357144
135,CHEMBL3355878,nM,0.66,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCCn1ccnc1[N+](=O)[O-],9.18045606445813
136,CHEMBL1204168,nM,0.66,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC.Cl,9.18045606445813
137,CHEMBL3814257,nM,0.662,CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,9.1791420105603
138,CHEMBL3357636,nM,0.67,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C(F)=C\CN1CCCCC1,9.173925197299173
139,CHEMBL317925,nM,0.67,COc1cc2ncnc(Nc3cccc(Br)c3)c2c(OC)c1OC,9.173925197299173
140,CHEMBL2031307,nM,0.68,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CCN(C)C,9.167491087293763
141,CHEMBL92937,nM,0.69,CNc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N,9.161150909262744
142,CHEMBL3957055,nM,0.69,O=C(CCCCCCn1cc(-c2ccc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2)nn1)NO,9.161150909262744
143,CHEMBL280757,nM,0.69,C=CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Br)c3)c2c1,9.161150909262744
144,CHEMBL4279016,nM,0.7,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCC(N2CCN(C)CC2)CC1,9.154901959985743
145,CHEMBL4294211,nM,0.7,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCC(N2CCOCC2)CC1,9.154901959985743
146,CHEMBL4287401,nM,0.7,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1OCCN1CCOCC1,9.154901959985743
147,CHEMBL3940089,nM,0.7,C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(F)c(Cl)c4F)ncnc3cc2OCCC)CC1,9.154901959985743
148,CHEMBL3909201,nM,0.7,C=CC(=O)N1CC(Oc2cc3c(Nc4ccc(F)c(Cl)c4F)ncnc3cc2OC)C1,9.154901959985743
149,CHEMBL4293145,nM,0.7,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1O[C@H]1CCOC1,9.154901959985743
150,CHEMBL4284071,nM,0.71,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(CN4CCOCC4)cc3)ncc2Cl)c1,9.148741651280925
151,CHEMBL54091,nM,0.72,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Br)c3)ncnc2cn1,9.142667503568731
152,CHEMBL289213,nM,0.72,CN(CC(=O)O)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12,9.142667503568731
153,CHEMBL339416,nM,0.74,[O-][N+]1(CCCNc2cc3ncnc(Nc4cccc(Br)c4)c3cn2)CCOCC1,9.130768280269024
154,CHEMBL31373,nM,0.75,C=CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,9.1249387366083
155,CHEMBL28418,nM,0.75,C=CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2n1,9.1249387366083
156,CHEMBL53555,nM,0.77,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,9.113509274827518
157,CHEMBL3360602,nM,0.77,COc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCn1ccnc1[N+](=O)[O-],9.113509274827518
158,CHEMBL3814882,nM,0.772,O=C(NCCN1CCCCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.112382699664265
159,CHEMBL31326,nM,0.78,C=CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cc1SCCCN(CC)CC,9.10790539730952
160,CHEMBL162142,nM,0.78,Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)cc23)c1,9.10790539730952
161,CHEMBL3352899,nM,0.78,COc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCCCCn1ccnc1[N+](=O)[O-],9.10790539730952
162,CHEMBL53300,nM,0.79,Nc1ccc2ncncc2c1,9.102372908709558
163,CHEMBL3633143,nM,0.8,C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,9.096910013008056
164,CHEMBL36727,nM,0.8,Cn1ccc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,9.096910013008056
165,CHEMBL2029437,nM,0.8,C=CC(=O)Nc1cccc(N2C(=O)N(c3ccc4ccccc4c3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,9.096910013008056
166,CHEMBL4129781,nM,0.8,C=CC(=O)Nc1cccc(-n2c(=O)n(C(C)C)c(=O)c3cnc(Nc4ccc(N5CCC(N(C)C)CC5)cc4OC)nc32)c1,9.096910013008056
167,CHEMBL1243345,nM,0.8,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)CCF,9.096910013008056
168,CHEMBL4087740,nM,0.8,C=CC(=O)Nc1cc(F)cc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,9.096910013008056
169,CHEMBL4277911,nM,0.8,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(CC)CCN(C)C,9.096910013008056
170,CHEMBL3814959,nM,0.803,NC(=O)Nc1ccc2ncnc(Nc3ccc(Br)cc3)c2c1,9.09528445472132
171,CHEMBL3360620,nM,0.82,COc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCOCCn1ccnc1[N+](=O)[O-],9.086186147616283
172,CHEMBL599047,nM,0.85,O=C(Cn1sc2ccccc2c1=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.070581074285707
173,CHEMBL3814211,nM,0.854,NC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,9.068542129310995
174,CHEMBL3357638,nM,0.89,CCOc1cc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C(F)=C\CN(C)C,9.050609993355087
175,CHEMBL3355874,nM,0.89,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCn1ccnc1[N+](=O)[O-],9.050609993355087
176,CHEMBL96065,nM,0.89,COc1cc2ncnc(Nc3cccc(I)c3)c2cc1OC,9.050609993355087
177,CHEMBL3946096,nM,0.9,C=CC(=O)N1CC[C@@H](Oc2cc3c(Nc4ccc(F)c(Cl)c4F)ncnc3cc2OC)C[C@@H]1C(=O)NC,9.045757490560675
178,CHEMBL3759199,nM,0.9,COc1cccc(OC)c1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2s1,9.045757490560675
