molecule_chembl_id;units;IC50;smiles;pIC50;MW;HBA;HBD;LogP;rule_of_5
CHEMBL377772;nM;170.0;COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN4CCC[C@H]4CC(=O)N;6.769551078621726;443.15243087600004;6;2;4.014300000000003;yes
CHEMBL193368;nM;170.0;CCc1c(cn2ncnc(Nc3ccc4c(cnn4Cc5ccccc5)c3)c12)C(=O)OCCCn6ccnc6;6.769551078621726;520.233522136;10;1;4.876900000000004;yes
CHEMBL69960;nM;170.0;Cc1cc([nH]c1\C=C\2/C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c23)C(=O)N5CCOCC5;6.769551078621726;482.12694439999996;6;3;3.614320000000002;yes
CHEMBL232082;nM;170.0;CN1CCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc6cccc(F)c6)c4)c23)CC1;6.769551078621726;470.23427108400006;8;1;3.7574000000000023;yes
CHEMBL7819;nM;170.0;COc1cc(O)c2C(=O)C(=CN(C)c2c1)c3cccc(Cl)c3;6.769551078621726;315.066220988;4;1;3.573100000000002;yes
CHEMBL3676393;nM;172.0;CC(COc1cc2ncnc(Nc3ccc(Br)cc3F)c2cc1NC(=O)C=C)NC(=O)CN(C)C;6.764471553092451;544.123379012;7;3;3.8446000000000016;yes
CHEMBL3416624;nM;173.0;COc1ccccc1c2cc3c(Nc4ccccc4)ncnc3s2;6.761953896871206;333.0935831;5;1;5.110500000000003;yes
CHEMBL248391;nM;173.0;COc1cc2c(N[C@@H]3C[C@H]3c4ccccc4)c(cnc2cc1OCCCc5cccnc5)C#N;6.761953896871206;450.205576072;6;1;5.489680000000005;yes
CHEMBL192737;nM;174.0;COCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1;6.7594507517174005;386.03783782;5;2;3.7208000000000014;yes
CHEMBL3904205;nM;175.0;CCC(=O)Nc1cc2c(Nc3ccc4N(Cc5ccccc5)CCc4c3)ncnc2cc1OC;6.7569619513137065;453.21647510400004;6;2;5.293200000000004;yes
CHEMBL3676343;nM;175.0;CN(C)CC(=O)NCCOc1cc2ncnc(Nc3c(F)cc(Br)cc3F)c2cc1NC(=O)C=C;6.7569619513137065;548.098307136;7;3;3.595200000000001;yes
CHEMBL1242294;nM;176.0;CC(C)n1nc(c2ccc3[nH]ccc3c2)c4c(N)ncnc14;6.7544873321858505;292.143644512;5;2;3.1377000000000006;yes
CHEMBL3608429;nM;178.0;CC(C)n1cnc2c(Nc3cnn(C)c3)nc(nc12)N4C[C@@H](F)[C@@H](C4)NC(=O)C=C;6.7495799976911055;413.208784608;9;2;1.7131999999999996;yes
CHEMBL1242852;nM;179.0;CC(C)n1nc(c2ccc3c(ccn3C(=O)OC(C)(C)C)c2)c4c(N)ncnc14;6.747146969020108;392.19607400800004;8;1;4.394300000000002;yes
CHEMBL2347964;nM;179.0;CC(=O)Nc1ccc(cc1)c2c(oc3ncnc(N[C@H](CO)c4ccccc4)c23)c5ccccc5;6.747146969020108;464.18484062799996;6;3;5.660700000000005;yes
CHEMBL552859;nM;180.0;Cl.CN(C)CC(=C)C(=O)c1ccc(OCc2ccccc2)cc1;6.7447274948966935;331.13390662399996;3;0;3.9879000000000033;yes
CHEMBL3235201;nM;180.0;Cc1ccc(Oc2nc3ccc(C)cc3cc2\C=N\NC(=O)Cn4c(C)ncc4[N+](=O)[O-])cc1;6.7447274948966935;458.170253184;8;1;4.207360000000003;yes
CHEMBL305782;nM;180.0;Cc1[nH]c(\C=C\2/C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c23)c(C)c1CCC(=O)O;6.7447274948966935;455.11604536799996;5;4;4.467540000000002;yes
CHEMBL455433;nM;180.0;O=C(O[C@H]1CN[C@@H](C1)C#Cc2cc3ncnc(NCc4cccc(Oc5ccccc5)c4)c3s2)N6CCOCC6;6.7447274948966935;555.194025408;9;2;4.646500000000004;yes
CHEMBL402011;nM;180.0;C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc5ccccn5)c3)c12)C(=O)N(C)C;6.7447274948966935;467.20697304000004;8;1;4.021900000000002;yes
CHEMBL3896779;nM;180.0;O=C(Nc1cc2c(Nc3ccc(Oc4ccccc4)cc3)ncnc2cn1)\C=C\CN5CCCC5;6.7447274948966935;466.2117240720001;7;2;5.151200000000005;yes
CHEMBL572030;nM;180.0;CN(C)CCN(\N=N\c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1)C(=O)OC=C;6.7447274948966935;439.15235062399995;8;1;5.169200000000004;yes
CHEMBL1421;nM;180.0;Cc1nc(Nc2ncc(s2)C(=O)Nc3c(C)cccc3Cl)cc(n1)N4CCN(CCO)CC4;6.7447274948966935;487.15572175200003;9;3;3.3135400000000015;yes
CHEMBL3608430;nM;181.0;CC(C)n1cnc2c(Nc3ccc(cc3)N4CCN(C)CC4)nc(nc12)N5C[C@H]6CN(C[C@H]6C5)C(=O)C=C;6.742321425130816;515.312106804;9;1;2.983200000000001;yes
CHEMBL3416608;nM;183.0;CC[C@@H](Nc1ncnc2sc(Br)cc12)c3ccccc3;6.73754891026957;347.00918054799996;4;1;5.017000000000003;yes
