,ChEMBL_ID,smiles,pIC50
90,CHEMBL153525,Brc1cccc(Nc2ncnc3ccc4cc[nH]c4c23)c1,8.906578314837763
91,CHEMBL2441568,Fc1ccc(Nc2ncnc3cc4OCCNc4cc23)cc1Cl,8.88941028970075
92,CHEMBL161895,Cc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)cc23)c1,8.886056647693161
93,CHEMBL176891,CN(C)CCn1cnc2cc3ncnc(Nc4cccc(Br)c4)c3cc12,8.87942606879415
94,CHEMBL127082,CNc1cc2ncnc(Nc3cccc(C)c3)c2cn1,8.853871964321762
95,CHEMBL3814320,Brc1cccc(Nc2ncnc3ccc(NC(=O)NCCN4CCOCC4)cc23)c1,8.844663962534938
96,CHEMBL165731,Cc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1,8.823908740944319
97,CHEMBL3759359,COc1c(CO)cccc1c2cc3c(N[C@H](C)c4ccccc4)ncnc3s2,8.823908740944319
98,CHEMBL3759480,COc1cc(ccc1c2cc3c(N[C@H](CO)c4ccccc4)ncnc3s2)C(=O)N,8.823908740944319
99,CHEMBL165508,Brc1cccc(Nc2ncnc3cnc(NCc4cccnc4)cc23)c1,8.823908740944319
100,CHEMBL338175,OC(=O)CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,8.823908740944319
101,CHEMBL3919609,C[C@@H](Nc1ncnc2oc(cc12)c3ccc(O)cc3)c4ccccc4,8.823908740944319
102,CHEMBL416611,OCC(O)Cn1ccc2cc3c(Nc4cccc(Br)c4)ncnc3cc12,8.795880017344075
103,CHEMBL166255,CN(CCO)CCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.769551078621726
104,CHEMBL1089524,CN(C)CCCC(=O)Nc1ccc2nccc(Nc3cccc(Br)c3)c2c1,8.769551078621726
105,CHEMBL356850,Brc1cccc(Nc2ncnc3c4ccccc4sc23)c1,8.744727494896694
106,CHEMBL2048903,OCCn1ccc2ncnc(Nc3ccc(Oc4cccc5[nH]ncc45)c(Cl)c3)c12,8.721246399047171
107,CHEMBL3818062,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)[C@H]4NC(=O)O[C@@H]4C,8.703334809738468
108,CHEMBL587723,CCN1CCN(Cc2ccc(cc2)c3cc4c(N[C@H](C)c5ccccc5)ncnc4[nH]3)CC1,8.698970004336019
109,CHEMBL3806248,CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2c4OCCOc14,8.698970004336019
110,CHEMBL387265,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OC4CCN(CC4)S(=O)(=O)C,8.698970004336019
111,CHEMBL3928512,C[C@@H](Nc1ncnc2oc(cc12)c3ccccc3O)c4ccccc4,8.698970004336019
112,CHEMBL214798,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OC4CCN(C)CC4,8.698970004336019
113,CHEMBL218677,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OC4CCN(CC(=O)N)CC4,8.698970004336019
114,CHEMBL3758351,COc1cc(CO)ccc1c2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3s2,8.698970004336019
115,CHEMBL2419760,Cl.C1Oc2cc3ncnc(Nc4cccc(c4)c5ccccc5)c3cc2O1,8.698970004336019
116,CHEMBL3040861,C1Oc2cc3ncnc(Nc4cccc(c4)c5ccccc5)c3cc2O1,8.698970004336019
117,CHEMBL3759961,COc1cccc(OC)c1c2cc3c(N[C@H](C)c4ccccc4)ncnc3s2,8.698970004336019
118,CHEMBL3758278,COc1cc(ccc1c2cc3c(N[C@H](C)c4ccccc4)ncnc3s2)C(=O)N,8.698970004336019
119,CHEMBL3961553,OC[C@@H](Nc1ncnc2oc(cc12)c3ccc(O)cc3)c4ccccc4,8.698970004336019
120,CHEMBL2087360,Fc1ccc(Nc2ncnc3cc4OCCOCCOCCOc4cc23)cc1Cl,8.698970004336019
121,CHEMBL250132,C[C@H](CN(C)C(=O)CO)Oc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12,8.698970004336019
122,CHEMBL3758800,C[C@@H](Nc1ncnc2sc(cc12)c3ccc(cc3)C(=O)NCCN(C)C)c4ccccc4,8.698970004336019
123,CHEMBL126192,CCOc1cc2ncnc(Nc3cccc(c3)c4nccs4)c2cc1OCC,8.698970004336019
124,CHEMBL3930316,CCC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,8.698970004336019
125,CHEMBL213874,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OCC4CCN(C)CC4,8.698970004336019
126,CHEMBL3674148,CC(C)n1c(Nc2ccc(F)c(Cl)c2)nc3cnc(Nc4ccc(cc4)C(=O)NN5CCN(C)CC5)nc13,8.698970004336019
127,CHEMBL3758376,CN(C)CCNC(=O)c1ccc(cc1)c2cc3c(N[C@H](CO)c4ccccc4)ncnc3s2,8.698970004336019
128,CHEMBL2087358,Clc1cccc(Nc2ncnc3cc4OCCOCCOCCOc4cc23)c1,8.698970004336019
129,CHEMBL2031309,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CCN4CCOCC4,8.694648630553376
130,CHEMBL2031308,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CCN4CCCCC4,8.655607726314889
131,CHEMBL53299,COc1ccc(CNc2cc3c(Nc4cccc(Br)c4)ncnc3cn2)cc1,8.638272163982407
132,CHEMBL4060996,Cl.COc1ccc(cc1)N(C)c2nc(C)nc3c(Cc4ccccc4)cn(C)c23,8.638272163982407
133,CHEMBL139095,Brc1cccc(Nc2ncnc3cnc(NS(=O)(=O)C=C)cc23)c1,8.619788758288394
134,CHEMBL287007,CN(C)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12,8.585026652029184
135,CHEMBL4099682,Cl.COc1ccc(Nc2nc(C)nc3c(Cc4ccccc4)cn(C)c23)cc1,8.585026652029184
136,CHEMBL53062,COc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.585026652029184
137,CHEMBL341319,CN(CCO)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,8.585026652029184
138,CHEMBL3952157,COc1ccc(cc1)c2oc3ncnc(N[C@H](CO)c4ccccc4)c3c2,8.568636235841014
139,CHEMBL136511,Brc1cccc(Nc2ncnc3ccc(NS(=O)(=O)C=C)cc23)c1,8.568636235841014
140,CHEMBL2048795,OCCn1ccc2ncnc(Nc3ccc(Oc4cccc5CC(=O)Nc45)c(Cl)c3)c12,8.55284196865778
141,CHEMBL163188,CN(C)c1cc2c(Nc3cccc(C)c3)ncnc2cn1,8.55284196865778
142,CHEMBL2048906,CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc5sncc45)c(Cl)c3)c12,8.537602002101043
143,CHEMBL3815161,Fc1ccc(Nc2ncnc3ccc(NC(=O)NCCN4CCOCC4)cc23)cc1Cl,8.534617148551582
144,CHEMBL1336,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1,8.528708288941061
145,CHEMBL3828269,Cn1cc(cn1)c2ccc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2,8.527243550682787
146,CHEMBL258940,CN1CCC(CC1)Nc2ncc3ncnc(Nc4ccc(F)c(Cl)c4)c3n2,8.522878745280337
147,CHEMBL258270,CC(=O)N1CCN(CCOc2n[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)CC1,8.522878745280337
148,CHEMBL79206,CN(CCO)Cc1ccc(cc1)c2cc3nccc(Nc4ccc5[nH]ccc5c4)c3s2,8.522878745280337
149,CHEMBL473428,OCc1oc(cc1)c2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2,8.522878745280337
150,CHEMBL125086,CCOc1cc2ncnc(Nc3cccc(c3)c4occc4)c2cc1OCC,8.522878745280337
151,CHEMBL250130,C[C@H](COc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12)N(C)C(=O)CO,8.522878745280337
152,CHEMBL2048796,OCCn1ccc2ncnc(Nc3ccc(Oc4cccc5NC(=O)Cc45)c(Cl)c3)c12,8.522878745280337
153,CHEMBL215786,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCC4CCN(C)CC4,8.522878745280337
154,CHEMBL214857,COCCN1CCC(CC1)Oc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC,8.522878745280337
155,CHEMBL3759986,OC[C@@H](Nc1ncnc2sc(cc12)c3cccc(CO)c3)c4ccccc4,8.522878745280337
156,CHEMBL203725,CN1CCC(CC1)Oc2cccc3ncnc(Nc4ccc(F)c(Cl)c4)c23,8.522878745280337
157,CHEMBL3759725,COc1c(cccc1c2cc3c(N[C@H](C)c4ccccc4)ncnc3s2)C(=O)NCCN(C)C,8.522878745280337
158,CHEMBL3633929,CC(=O)Nc1ccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2c1,8.522878745280337
159,CHEMBL2048797,OCCn1ccc2ncnc(Nc3ccc(Oc4cccc5[nH]ccc45)c(Cl)c3)c12,8.508638306165727
160,CHEMBL4105329,Cc1n[nH]c2ccc(cc12)c3cc(N[C@@H](CO)c4ccccc4)cnc3c5cc(Cl)ccc5O,8.508638306165727
161,CHEMBL53156,CNc1ccc2ncnc(Nc3cccc(Br)c3)c2n1,8.508638306165727
162,CHEMBL165495,Cc1cccc(Nc2ncnc3cnc(N)cc23)c1,8.508638306165727
163,CHEMBL4071058,CC(C)(C)OC(=O)NCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,8.494850021680094
164,CHEMBL128987,Brc1cccc(Nc2ncnc3cc(NCCN4CCOCC4)ncc23)c1,8.494850021680094
165,CHEMBL127611,CN(CC(O)C(O)C(O)C(O)CO)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,8.494850021680094
166,CHEMBL340700,CN(CC(O)CO)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,8.494850021680094
